,historical_cvar
2000-03-01,-0.013680652219717211
2000-04-01,9.793417130476935e-05
2000-05-01,0.040198880312321765
2000-06-01,-0.04448045316381512
2000-07-01,0.02203789814936474
2000-08-01,0.020226649395594883
2000-09-01,-0.00530526849312645
2000-10-01,-0.021578910508602896
2000-11-01,0.035943422468736386
2000-12-01,0.03729838936438003
2001-01-01,0.049423158236802565
2001-02-01,-0.0534220273356771
2001-03-01,-0.030124756941829683
2001-04-01,0.09819530643218603
2001-05-01,0.0024429887467450856
2001-06-01,-0.0260980286515026
2001-07-01,0.014857597186599961
2001-08-01,-0.0653517083638319
2001-09-01,-0.028935478292370517
2001-10-01,0.05003766893999711
2001-11-01,0.0472146782267971
2001-12-01,0.03997596694753418
2002-01-01,-0.015909116231063464
2002-02-01,0.03458965865205064
2002-03-01,0.02331158092294165
2002-04-01,-0.04218611176192219
2002-05-01,-0.012793680486007552
2002-06-01,-0.00739284211457525
2002-07-01,-0.04668320820513769
2002-08-01,0.021128038444807765
2002-09-01,-0.10112585825568791
2002-10-01,0.11751588429740409
2002-11-01,0.012402945165834189
2002-12-01,-0.025180401282667915
2003-01-01,-0.013630918840729292
2003-02-01,-0.0064491090290863095
2003-03-01,0.05729398721983422
2003-04-01,0.018436779335759827
2003-05-01,0.004180101742741923
2003-06-01,-0.0005053936987163722
2003-07-01,0.028979987386954644
2003-08-01,0.03215523360422897
2003-09-01,-0.01220172473657398
2003-10-01,0.06606359240434573
2003-11-01,-0.014331433274127201
2003-12-01,0.03649691072578311
2004-01-01,0.008040889765934738
2004-02-01,0.056722105004068366
2004-03-01,-0.006307517214923603
2004-04-01,-0.009653750422169443
2004-05-01,0.0077214932566853686
2004-06-01,0.014712414005256531
2004-07-01,-0.02566291965059405
2004-08-01,0.015167397709025861
2004-09-01,-0.0009936089544113006
2004-10-01,0.017197442625414318
2004-11-01,0.027599748939468167
2004-12-01,0.025909615331392473
2005-01-01,0.002006539828421682
2005-02-01,0.03102567360407119
2005-03-01,-0.007747553483140679
2005-04-01,-0.030680220353352383
2005-05-01,0.003137189848412337
2005-06-01,-0.015126956453253374
2005-07-01,0.03771578070743512
2005-08-01,-0.017207134570584686
2005-09-01,0.022517056284354332
2005-10-01,-0.019447737610750283
2005-11-01,0.027004251776630205
2005-12-01,-0.015544878867606377
2006-01-01,0.029013868985058446
2006-02-01,0.011581488680283874
2006-03-01,0.007738950178845292
2006-04-01,0.0009443932804203788
2006-05-01,0.009729082790662
2006-06-01,-0.0014174268372302904
2006-07-01,-0.005626243842589715
2006-08-01,0.04097034056295767
2006-09-01,0.018943062049690283
2006-10-01,0.04164119167637681
2006-11-01,0.011992113644921292
2006-12-01,-0.0026424962893776553
2007-01-01,-0.007819321659058014
2007-02-01,-0.020044011165713423
2007-03-01,0.005966727952972819
2007-04-01,0.053305007148582606
2007-05-01,0.02084813265373518
2007-06-01,-0.015249519480445388
2007-07-01,0.004275973158320268
2007-08-01,0.025999729330057973
2007-09-01,0.056904965575717247
2007-10-01,0.0070199728645011575
2007-11-01,0.02827279195307252
2007-12-01,0.0048654863177587555
2008-01-01,-0.04013564702586036
2008-02-01,-0.012048730810015876
2008-03-01,0.04031384813120893
2008-04-01,0.05534677690384945
2008-05-01,-0.01692316887598488
2008-06-01,-0.06520404935049826
2008-07-01,0.030872155968711037
2008-08-01,0.01873094383731062
2008-09-01,-0.01330431960953938
2008-10-01,-0.09843108234750395
2008-11-01,0.018818066832063864
2008-12-01,-0.0035675925319329843
2009-01-01,-0.09447740195506785
2009-02-01,-0.08124003350098578
2009-03-01,0.04111450179685667
2009-04-01,0.011746290147265512
2009-05-01,0.04001889514594384
2009-06-01,-0.002064430849493084
2009-07-01,0.05291232937069074
2009-08-01,0.002882207778744163
2009-09-01,0.0025432487256218665
2009-10-01,0.008011138943736758
2009-11-01,0.07112741058584646
2009-12-01,-0.014552520183687186
2010-01-01,-0.03541188838230934
2010-02-01,0.014841353677157252
2010-03-01,0.030158740078023726
2010-04-01,-0.010348833172612213
2010-05-01,-0.06591776910209743
2010-06-01,-0.028026725674221077
2010-07-01,0.03813590502490791
2010-08-01,-0.0190102440799064
2010-09-01,0.0530683487555973
2010-10-01,0.056608162087951774
2010-11-01,-0.0003478729191324493
2010-12-01,0.03648781915608496
2011-01-01,0.05615344103577876
2011-02-01,0.004176416839894902
2011-03-01,-0.0072932701807311515
2011-04-01,0.054180019132572636
2011-05-01,-0.0017220704502701916
2011-06-01,-0.023057018197966073
2011-07-01,0.00026999138059595213
2011-08-01,-0.016756635368022237
2011-09-01,-0.010300255090350595
2011-10-01,0.05865899913238841
2011-11-01,0.025667286589630557
2011-12-01,0.0210030797895516
2012-01-01,0.0035541759180986753
2012-02-01,0.02659768792575008
2012-03-01,0.023733488209503512
2012-04-01,-0.02222137789036891
2012-05-01,-0.01859182484720637
2012-06-01,0.03714492101830227
2012-07-01,0.03467331995635772
2012-08-01,0.008533824213328297
2012-09-01,0.040149329452437356
2012-10-01,-0.011164097413863308
2012-11-01,-0.017050417638731313
2012-12-01,-0.01859378133230847
2013-01-01,0.061894839736369715
2013-02-01,0.006370942811363317
2013-03-01,0.03573282068203332
2013-04-01,-0.005642705783163826
2013-05-01,0.00817575560556803
2013-06-01,-0.02029160921472972
2013-07-01,0.040686616441717546
2013-08-01,-0.051817796596546783
2013-09-01,-0.0015380162303724847
2013-10-01,0.03164879292085042
2013-11-01,0.039900140023331865
2013-12-01,0.02079760866211337
2014-01-01,-0.063987371508014
2014-02-01,0.03191999651974425
2014-03-01,0.02836724458265441
2014-04-01,0.036674216782671194
2014-05-01,-0.02830452255607022
2014-06-01,-0.002235657243671114
2014-07-01,-0.0007865259653393822
2014-08-01,0.041826691672494594
2014-09-01,-0.0029426136763402366
2014-10-01,-0.01615251616703682
2014-11-01,0.03718496104075094
2014-12-01,-0.01303351478108689
2015-01-01,-0.04483085193769476
2015-02-01,0.05234182336981891
2015-03-01,-0.014222160078919322
2015-04-01,0.0029981483572239713
2015-05-01,-0.0035023403664830137
2015-06-01,-0.028039211482701627
2015-07-01,0.017934785508713625
2015-08-01,-0.08450531668297588
2015-09-01,-0.0018813481172678522
2015-10-01,0.02831106499712399
2015-11-01,0.008066149778709352
2015-12-01,0.014919886752205555
2016-01-01,0.0008779824429510617
2016-02-01,0.008840471846648892
2016-03-01,0.07559627832945819
2016-04-01,-0.002928402882771153
2016-05-01,0.03394945436774827
2016-06-01,0.018265595141735237
2016-07-01,0.0309671380147899
2016-08-01,-0.015353920088504782
2016-09-01,-0.004147097050663231
2016-10-01,-0.021969937601396598
2016-11-01,0.01672616919441026
2016-12-01,0.013977433680889976
2017-01-01,-0.0018389832975852793
2017-02-01,0.04828487856718518
2017-03-01,0.008232775671970444
2017-04-01,0.02666483073245808
2017-05-01,0.025854620162068784
2017-06-01,0.008302939777221885
2017-07-01,0.010271018349690268
2017-08-01,0.014714120571177812
2017-09-01,0.02598116464080853
2017-10-01,0.047152586763516316
2017-11-01,0.034300410124705825
2017-12-01,0.01675430982970055
2018-01-01,0.041259693391580934
2018-02-01,-0.05538407443216094
2018-03-01,-0.021850092624726366
2018-04-01,-0.018136203723492537
2018-05-01,0.010552161570594932
2018-06-01,-0.0010814180446302964
2018-07-01,0.07694790134380351
2018-08-01,0.01845739547828773
2018-09-01,0.03365311486387708
2018-10-01,-0.07390870289577747
2018-11-01,0.07943756142393278
2018-12-01,-0.07108403037135917
2019-01-01,0.023311527619282284
2019-02-01,0.022331465922326356
2019-03-01,0.015046982407813382
2019-04-01,0.009395554300118443
2019-05-01,-0.044608580286671536
2019-06-01,0.07081458974460358
2019-07-01,-0.013089287232770455
2019-08-01,-0.028848190166993408
2019-09-01,0.016407200907445078
2019-10-01,0.03654545173593886
2019-11-01,0.021457351396577506
2019-12-01,0.02973327309805102
2020-01-01,-0.014826405440646211
2020-02-01,-0.07394309141292935
2020-03-01,-0.07001363563464573
2020-04-01,0.08448372905231245
2020-05-01,0.022098264901586527
2020-06-01,0.025024765122527774
2020-07-01,0.059811576096189756
2020-08-01,0.06966315659380751
2020-09-01,-0.005226693181804713
2020-10-01,-0.004628104208643568
2020-11-01,0.0811870814727452
2020-12-01,0.008826560395936869
2021-01-01,-0.009830335438180219
2021-02-01,0.010426807953767445
2021-03-01,0.06603602683634663
2021-04-01,0.030673137650330647
2021-05-01,0.016559372624382163
2021-06-01,0.003414855358154441
2021-07-01,0.04483461203106928
2021-08-01,0.040303959971327685
2021-09-01,-0.059094447681645734
2021-10-01,0.07255989072506652
2021-11-01,0.021648219131614563
2021-12-01,0.07359557068358778
2022-01-01,-0.04122047589077036
2022-02-01,-0.05118243299099434
2022-03-01,0.074399311059597
2022-04-01,-0.024995236661698624
2022-05-01,-0.02368592343517226
2022-06-01,-0.07022379396086172
2022-07-01,0.049199291925764686
2022-08-01,-0.04756654241062428
2022-09-01,-0.07719235699692888
2022-10-01,0.09760816310097763
2022-11-01,0.09030078428092382
2022-12-01,-0.0255333736779909
2023-01-01,-0.025302018888413012
2023-02-01,-0.03169249930078319
2023-03-01,0.0560413933679408
2023-04-01,0.015177133462531784
2023-05-01,-0.03387772534223686
2023-06-01,0.05448897091450006
2023-07-01,0.02663452718104901
2023-08-01,0.001753883757450275
2023-09-01,-0.04247790354006732
2023-10-01,-0.023143206470677344
2023-11-01,0.018737493460731093
2023-12-01,0.0023607080788938025
2024-01-01,0.0307329997784091
2024-02-01,0.026686964071979458
2024-03-01,0.02458911761764093
2024-04-01,-0.0445381052768438
2024-05-01,0.045757535840431546
2024-06-01,0.010310818991522358
2024-07-01,0.043203438995985846
2024-08-01,0.07298766634654136
2024-09-01,0.016231501915166927
2024-10-01,-0.018457052918953745
2024-11-01,0.06337293983692209
2024-12-01,-0.04500160373646965
2025-01-01,0.060874154362590895
2025-02-01,0.03186082289085336
2025-03-01,-0.04204018168257392
2025-04-01,-0.0005260425503840818
2025-05-01,0.02374296379642131
2025-06-01,0.009849131487452239
2025-07-01,-0.0040326353687138074
2025-08-01,0.02804410079333497
2025-09-01,0.03891472187015364
2025-10-01,0.012716223849305854
2025-11-01,0.06662952791465447
2025-12-01,-0.0035918776866322973
2026-01-01,0.0685130080049251
2026-02-01,0.050576274750260906
2026-03-01,-0.016012301843600838
2026-04-01,0.0033895192691332267
2026-05-01,-0.01909260442589367
2026-06-01,0.03143447653487777
2026-07-01,0.018035980355189215
